"Dostopnost izbranih dobrin, glede na dohodek gospodinjstva, po spolu, Slovenija, letno"

"SPOL";"DOHODEK GOSPODINJSTVA - KVINTIL";"DOBRINA";"MERITVE";"2014";"2015";"2016";"2017";"2018"
"Spol - SKUPAJ";"3. kvintil";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";1;2;1;4;4
"Spol - SKUPAJ";"3. kvintil";"Uporaba interneta doma";"Da";75;80;81;84;86
"Spol - SKUPAJ";"3. kvintil";"Uporaba interneta doma";"Ne, iz finanènih razlogov";2;1;1;1;0
"Spol - SKUPAJ";"3. kvintil";"Uporaba interneta doma";"Ne, iz drugih razlogov";23;19;18;15;14
"Spol - SKUPAJ";"4. kvintil";"Nova oblaèila";"Da";94;98;98;98;98
"Spol - SKUPAJ";"4. kvintil";"Nova oblaèila";"Ne, iz finanènih razlogov";4;2;1;2;1
"Spol - SKUPAJ";"4. kvintil";"Nova oblaèila";"Ne, iz drugih razlogov";2;1;1;0;1
"Spol - SKUPAJ";"4. kvintil";"Dva para èevljev";"Da";100;100;100;100;100
"Spol - SKUPAJ";"4. kvintil";"Dva para èevljev";"Ne, iz finanènih razlogov";0;0;0;0;0
"Spol - SKUPAJ";"4. kvintil";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;0
"Spol - SKUPAJ";"4. kvintil";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";89;92;94;95;95
"Spol - SKUPAJ";"4. kvintil";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";5;3;2;2;1
"Spol - SKUPAJ";"4. kvintil";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";6;5;5;3;4
"Spol - SKUPAJ";"4. kvintil";"Plaèljive prostoèasne aktivnosti";"Da";43;55;60;61;62
"Spol - SKUPAJ";"4. kvintil";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";15;10;8;8;7
"Spol - SKUPAJ";"4. kvintil";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";42;35;32;31;30
"Spol - SKUPAJ";"4. kvintil";"Razpolaganje z manjšim zneskom denarja";"Da";94;97;98;95;93
"Spol - SKUPAJ";"4. kvintil";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";5;2;2;3;3
"Spol - SKUPAJ";"4. kvintil";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";1;1;1;2;4
"Spol - SKUPAJ";"4. kvintil";"Uporaba interneta doma";"Da";83;84;87;89;91
"Spol - SKUPAJ";"4. kvintil";"Uporaba interneta doma";"Ne, iz finanènih razlogov";1;1;1;0;0
"Spol - SKUPAJ";"4. kvintil";"Uporaba interneta doma";"Ne, iz drugih razlogov";16;15;12;11;8
"Spol - SKUPAJ";"5. kvintil";"Nova oblaèila";"Da";98;99;99;99;99
"Spol - SKUPAJ";"5. kvintil";"Nova oblaèila";"Ne, iz finanènih razlogov";1;0;0;1;1
"Spol - SKUPAJ";"5. kvintil";"Nova oblaèila";"Ne, iz drugih razlogov";1;0;0;0;1
"Spol - SKUPAJ";"5. kvintil";"Dva para èevljev";"Da";100;100;100;100;100
"Spol - SKUPAJ";"5. kvintil";"Dva para èevljev";"Ne, iz finanènih razlogov";0;0;0;0;0
"Spol - SKUPAJ";"5. kvintil";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;0
"Spol - SKUPAJ";"5. kvintil";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";94;93;97;97;97
"Spol - SKUPAJ";"5. kvintil";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";2;1;0;1;0
"Spol - SKUPAJ";"5. kvintil";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";5;5;3;2;3
"Spol - SKUPAJ";"5. kvintil";"Plaèljive prostoèasne aktivnosti";"Da";60;68;74;73;72
"Spol - SKUPAJ";"5. kvintil";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";5;4;4;4;3
"Spol - SKUPAJ";"5. kvintil";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";35;28;22;24;25
"Spol - SKUPAJ";"5. kvintil";"Razpolaganje z manjšim zneskom denarja";"Da";97;98;99;97;96
"Spol - SKUPAJ";"5. kvintil";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";2;1;0;1;1
"Spol - SKUPAJ";"5. kvintil";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";1;1;0;2;3
"Spol - SKUPAJ";"5. kvintil";"Uporaba interneta doma";"Da";89;90;92;93;95
"Spol - SKUPAJ";"5. kvintil";"Uporaba interneta doma";"Ne, iz finanènih razlogov";0;0;0;0;0
"Spol - SKUPAJ";"5. kvintil";"Uporaba interneta doma";"Ne, iz drugih razlogov";10;10;8;7;5
