"Povpreèna porabljena denarna sredstva gospodinjstev, Slovenija, veèletno"

"ECOICOP";"MERITVE";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2012";"2015";"2018"
"00 PORABLJENA SREDSTVA";"Povpreèno na èlana gospodinjstva (EUR)";4295;4653;5090;5536;6118;6435;6805;7142;8023;7958;8046;7669;7524;8608
